product_id,title,price,sale_price,availability,material,color,color_hex,size_text,origin,age_group,pattern,images,status,visibility
test-utf8,"Test Rug UTF8",100,90,in stock,wool,"Beige|Red","#cbb79c|#7a1f2b","170x240","Anatolia",adult,"geometric","https://example.com/1.jpg active",active,public
10002,"Anatolian Rug",329,299,in stock,100% wool,"Beige|Burgundy","#cbb79c|#7a1f2b","170x240 cm","Anatolia",adult,"Traditional, Vintage","https://example.com/a.jpg https://example.com/b.jpg",active,public
test-123,"Smoke Test Rug",123.45,,in stock,,"","","","",,"","https://example.com/i.jpg",active,public
10049,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#694d3c|#521b1e","#694d3c|#521b1e","6' 4'' X  9' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10402,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#846c5a|#af8d75","#846c5a|#af8d75","8' 2'' X 12' 0''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
16548,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#8c7666|#232233","#8c7666|#232233","3'11'' X  6' 6''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10031,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#5d493e|#8b846d","#5d493e|#8b846d","6' 5'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10349,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9a735f|#d29979","#9a735f|#d29979","4' 0'' X  6' 2''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10125,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#644b38|#481717","#644b38|#481717","6'10'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10401,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#805a43|#b58e69","#805a43|#b58e69","3' 0'' X  4' 4''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10051,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#8b6754|#27242a","#8b6754|#27242a","6' 5'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10215,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#5b3b3a|#7e6d62","#5b3b3a|#7e6d62","4'10'' X  6' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10346,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#8d6054|#8d222b","#8d6054|#8d222b","3'11'' X  5' 9''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10254,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#86705e|#793f25","#86705e|#793f25","4'10'' X  7'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10102,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#4d2221|#776153","#4d2221|#776153","6' 4'' X  9' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10315,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#af7a6e|#d2c1a7","#af7a6e|#d2c1a7","4' 2'' X  5'11''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10094,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#755843|#ae8c6c","#755843|#ae8c6c","6' 4'' X 10' 1''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10413,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7c6349|#4c3c29","#7c6349|#4c3c29","9' 1'' X 12' 7''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10153,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#845b4e|#741f1b","#845b4e|#741f1b","6' 7'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10186,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#87574c|#ae9c7b","#87574c|#ae9c7b","6' 7'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10423,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9a7d65|#cda98a","#9a7d65|#cda98a","7' 7'' X 11' 8''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10182,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6d5443|#8e8569","#6d5443|#8e8569","6' 4'' X  9' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10377,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a77969|#67574e","#a77969|#67574e","4' 1'' X  5' 7''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10239,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#705c45|#ae826b","#705c45|#ae826b","6' 6'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10089,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#715843|#a48a6b","#715843|#a48a6b","6' 6'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10036,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#816345|#562a21","#816345|#562a21","6' 4'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10427,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#64423b|#8f6258","#64423b|#8f6258","11' 0'' X 15' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10168,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#54332d|#1f1f20","#54332d|#1f1f20","6' 9'' X  9' 5''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10270,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#65302f|#886753","#65302f|#886753","4'10'' X  7' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10320,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#966253|#b09581","#966253|#b09581","3' 7'' X  6' 0''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10276,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#947869|#d3c5ae","#947869|#d3c5ae","4'11'' X  7' 0''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10328,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#966d51|#d39967","#966d51|#d39967","3' 4'' X  6' 1''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10181,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#644a39|#947b5f","#644a39|#947b5f","6' 7'' X  9' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10069,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6c554a|#4e2928","#6c554a|#4e2928","6' 7'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10101,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#937e66|#735142","#937e66|#735142","6' 5'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10389,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#84615b|#b8867e","#84615b|#b8867e","2' 9'' X  4' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10359,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#956a53|#d37858","#956a53|#d37858","3'11'' X  5' 8''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10425,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#886960|#b9a194","#886960|#b9a194","7' 4'' X 11' 2''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10046,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#936f54|#c79a75","#936f54|#c79a75","6' 6'' X  9' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
15114,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#5a3e34|#1a1212","#5a3e34|#1a1212","6' 6'' X  9'11''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10082,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#775944|#040404","#775944|#040404","6' 8'' X  9' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10030,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6d5446|#41231f","#6d5446|#41231f","6' 6'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10065,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7f614e|#c38e6e","#7f614e|#c38e6e","6' 9'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10451,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#987955|#bf9c91","#987955|#bf9c91","2'11'' X  4' 5''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10384,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#b9ab98|#cabcac","#b9ab98|#cabcac","2'11'' X  4' 2''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10317,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#956e58|#cd8f6e","#956e58|#cd8f6e","4' 1'' X  5' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10121,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7f584d|#212430","#7f584d|#212430","6' 8'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10371,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#906d66|#6f423c","#906d66|#6f423c","3'10'' X  5'10''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10406,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#8e6c56|#be9479","#8e6c56|#be9479","8' 4'' X 13' 0''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10393,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#765748|#26292a","#765748|#26292a","3' 2'' X  3'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
16532,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#382824|#615542","#382824|#615542","7' 9'' X 11' 1''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
15077,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#68584d|#3f221e","#68584d|#3f221e","5' 0'' X  7' 1''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10158,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#917262|#ad998d","#917262|#ad998d","6' 4'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10391,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#b2817e|#645955","#b2817e|#645955","2'10'' X  4'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10180,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#796042|#b59160","#796042|#b59160","6' 6'' X  9' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10157,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#755a46|#a48262","#755a46|#a48262","6' 6'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10399,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7c5d55|#73141c","#7c5d55|#73141c","3' 1'' X  4' 2''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10405,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#8d664f|#4f3c2f","#8d664f|#4f3c2f","8' 6'' X 12'11''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10115,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#825a45|#aa8e72","#825a45|#aa8e72","6' 8'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10141,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#956e54|#d19270","#956e54|#d19270","6' 6'' X  9'11''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10012,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#745848|#9a8975","#745848|#9a8975","6' 8'' X 10' 0''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10093,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7d5b4b|#1c1925","#7d5b4b|#1c1925","6' 5'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10358,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#b3a18c|#826758","#b3a18c|#826758","3'10'' X  5' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10021,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#816047|#b7855d","#816047|#b7855d","6' 7'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10073,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#806954|#ab9c7c","#806954|#ab9c7c","6' 4'' X 10' 1''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10298,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#c77b73|#806659","#c77b73|#806659","3' 9'' X  5'11''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10122,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#806049|#b5875f","#806049|#b5875f","6' 7'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10229,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7c5046|#392d3b","#7c5046|#392d3b","4'10'' X  7' 2''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10100,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#644c3d|#897964","#644c3d|#897964","6' 7'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10420,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#866954|#a99484","#866954|#a99484","7' 5'' X 11' 7''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10126,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#80563e|#59221a","#80563e|#59221a","6' 9'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10077,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#91715a|#c79b78","#91715a|#c79b78","6' 5'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10132,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7f5c49|#ad7e63","#7f5c49|#ad7e63","6' 3'' X 10' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10412,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#957c65|#625549","#957c65|#625549","8' 3'' X 12' 3''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10356,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a17e6b|#61534c","#a17e6b|#61534c","3'11'' X  6' 0''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10183,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#664a3a|#421b18","#664a3a|#421b18","6' 7'' X 10' 2''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10130,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a97d68|#d4b696","#a97d68|#d4b696","6' 8'' X 10' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10124,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#6b533b|#37221a","#6b533b|#37221a","6' 6'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10213,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#51403a|#292120","#51403a|#292120","6' 7'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10434,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#783032|#2a232d","#783032|#2a232d","3' 3'' X  9'11''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10068,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7e6750|#4d3128","#7e6750|#4d3128","6' 5'' X 10' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
13297,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#baa086|#ab6156","#baa086|#ab6156","4' 0'' X  5' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10278,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#a48370|#d4c2a0","#a48370|#d4c2a0","4' 9'' X  7' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10431,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9b2a36|#2d2e3d","#9b2a36|#2d2e3d","3' 2'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10161,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#835741|#822a21","#835741|#822a21","6' 4'' X 10' 1''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10114,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#876e5a|#bf9c7b","#876e5a|#bf9c7b","6' 6'' X  9' 6''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10150,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#8a4442|#9b806f","#8a4442|#9b806f","6' 5'' X  9'10''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10383,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#59181a|#231b1c","#59181a|#231b1c","2' 8'' X  6' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10139,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#806b5c|#4c3e36","#806b5c|#4c3e36","6' 5'' X  9' 9''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10222,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#b09586|#741e21","#b09586|#741e21","5' 1'' X  7' 3''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10308,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#9a7461|#d6846b","#9a7461|#d6846b","3'10'' X  5' 9''","",,"","[object Object] [object Object] [object Object] [object Object]",active,public
10201,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#725852|#4c2b30","#725852|#4c2b30","6' 7'' X  9' 4''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10388,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#31302d|#bca592","#31302d|#bca592","2'11'' X  4' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10205,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#7c5d46|#ac8967","#7c5d46|#ac8967","6' 5'' X  9' 8''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10148,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#644a39|#947b5f","#644a39|#947b5f","6' 7'' X  9' 3''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object] [object Object] [object Object]",active,public
10048,"Cappadocia rug",,,in stock,Wool pile; cotton foundation (fringes cotton),"#796050|#af7b67","#796050|#af7b67","6' 6'' X  9' 7''","",,"","[object Object] [object Object] [object Object] [object Object] [object Object]",active,public
